year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,annual_income,annual_reinvestment,active_forked_accounts,total_forked_accounts,forks_this_year,merges_this_year,pending_reinvestment
1,136297.030330587,147569.52484842177,115233.58796214966,111010.42487278348,510110.56801394187,210110.568013942,162347.71835057935,1,1,1,0,0
2,154933.98989748905,242218.642340057,147578.51418885408,310793.52166965243,855524.6680960526,345414.1000821108,264691.37507380615,2,2,1,0,0
3,176224.78060268925,397535.17561915517,189001.18039957053,659460.2989825209,1422221.4356039357,566696.7675078828,434081.82527637767,4,4,2,0,0
4,200451.24416814567,652466.2447636526,242052.94523617686,1258529.4464337123,2353499.8806016874,931278.4449977515,725156.9740901003,9,9,5,0,0
5,123444.3675,1070912.720745552,309994.29640987405,2357447.2072233604,3861798.5918787867,1508298.7112770989,1184304.4510098435,14,14,5,0,0
6,140209.17251073022,1757532.4905967943,397011.0430382579,4012467.37444173,6307220.080587512,2445421.488708726,1938975.4249636973,22,22,8,0,0
7,159436.19064874278,2884757.031760074,508445.6830938356,6731606.895654608,10284245.80115726,3977025.7205697466,3011633.829357339,42,42,20,0,0
8,181328.33386709972,4734516.168328749,651161.5288086782,11150853.197710091,16717859.228714619,6433613.427557363,5099034.24459265,60,60,18,0,0
9,206251.68908812074,7770275.972517772,833947.3865127357,18299394.564944763,27109869.61306339,10392010.38434877,8109670.540984543,96,96,36,0,0
10,126987.59889562546,12753177.576347264,2190149.6841011904,28790768.70817885,43861083.56752293,16751213.954459542,12847089.258848902,172,174,78,2,0
