week,year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,weekly_income,active_forked_accounts,total_forked_accounts_created,quarterly_reinvestment,is_success_week,market_condition
1,1,121484.28591638376,90874.85287057313,90415.0157501416,0.0,302774.1545370985,2774.154537098487,0,0,0.0,True,normal
2,1,121335.65848888521,90827.97361279657,90416.58701436054,0.0,302580.2191160423,-193.93542105615933,0,0,0.0,False,normal
3,1,122710.54224059805,91575.35820430172,90973.83942229289,0.0,305259.7398671927,2679.5207511503413,0,0,0.0,True,normal
4,1,124119.47083911604,91839.474578656,91309.80335319972,0.0,307268.7487709718,2009.00890377909,0,0,0.0,True,normal
5,1,124240.00701082857,91895.73853546534,91440.38861666207,0.0,307576.134162956,307.38539198422643,0,0,0.0,False,normal
6,1,125692.71313659243,93009.77506465511,91913.78663316485,0.0,310616.2748344124,3040.140671456414,0,0,0.0,True,normal
7,1,127139.5535745966,93764.58643245125,92726.29037923279,0.0,313630.43038628064,3014.1555518682508,0,0,0.0,True,normal
8,1,127373.1630747386,93854.20417119986,92599.18668026362,0.0,313826.55392620206,196.123539921436,0,0,0.0,False,normal
9,1,127324.8929122821,93704.5672285367,92674.55091299233,0.0,313704.0110538111,-122.54287239093743,0,0,0.0,False,normal
10,1,127324.8929122821,94767.6223959517,93043.8883077957,0.0,315136.4036160295,1432.3925622183551,0,0,0.0,True,normal
11,1,127104.86014451306,94771.2023577887,93044.02892675855,0.0,314920.0914290603,-216.31218696918728,0,0,0.0,False,normal
12,1,126866.53023818081,94685.4963104317,93051.1222155881,0.0,314603.1487642006,-316.94266485969433,0,0,0.0,False,normal
13,1,125901.10316286767,93876.44684048771,92428.57014208636,0.0,312206.12014544173,54.4482896843742,0,0,12206.120145441775,False,normal
14,1,127696.32847105754,94706.2678852565,92843.23712809556,0.0,315245.8334844096,3039.7133389678497,0,0,0.0,True,normal
15,1,127632.58091572874,94764.95862029746,92923.0225441899,0.0,315320.56208021607,74.72859580651044,0,0,0.0,False,normal
16,1,127420.34107330648,94605.21155304345,92999.2091776014,0.0,315024.76180395135,-295.80027626477704,0,0,0.0,False,normal
17,1,126725.35596256197,95350.95650956087,93422.76536603872,0.0,315499.07783816155,474.31603421021697,0,0,0.0,True,normal
18,1,128631.50333650882,96240.94096755542,93833.47749330115,0.0,318705.9217973654,3206.8439592038285,0,0,0.0,True,normal
19,1,128448.6431934267,96098.03899331857,93885.1930408677,0.0,318431.87522761297,-274.04656975243086,0,0,0.0,False,normal
20,1,129336.63239371713,97081.14164242861,94352.81325637328,0.0,320770.58729251905,2338.7120649060475,0,0,0.0,True,normal
21,1,129431.46385255414,97188.84702001873,94502.00514732297,0.0,321122.31601989584,351.7287273768187,0,0,0.0,False,normal
22,1,131187.78412048423,98025.17752613453,94993.51915706544,0.0,324206.4808036842,3084.1647837883625,0,0,0.0,True,normal
23,1,131082.37825990826,97928.517887746,94994.68308049852,0.0,324005.5792281528,-200.9015755314289,0,0,0.0,False,normal
24,1,132702.742425547,98264.98793082683,95151.79884631424,0.0,326119.5292026881,2113.9499745352964,0,0,0.0,True,normal
25,1,133376.25495276178,99068.58328109643,95659.70871627989,0.0,328104.5469501381,1985.0177474500372,0,0,0.0,True,normal
26,1,132109.97754781749,98068.60887841179,95052.88866282481,0.0,325231.4750890541,-175.43308793417202,0,0,13025.354943612347,False,normal
27,1,133730.16596906853,99879.93252901055,95526.3054697494,0.0,329136.4039678285,3904.9288787743913,0,0,0.0,True,normal
28,1,135311.46855233962,101026.17150074684,95897.14463689804,0.0,332234.7846899845,3098.380722156031,0,0,0.0,True,normal
29,1,135121.1640610943,100963.90475705596,96055.49397199653,0.0,332140.5627901468,-94.22189983768723,0,0,0.0,False,normal
30,1,136729.80825162522,101380.53398173813,96481.26996812917,0.0,334591.61220149253,2451.049411345706,0,0,0.0,True,normal
31,1,136835.7499952953,101387.16096263699,96426.40021853632,0.0,334649.3111764686,57.69897497607889,0,0,0.0,False,normal
32,1,136794.03336021816,101200.45730301067,96532.55876317788,0.0,334527.04942640674,-122.26175006190667,0,0,0.0,False,normal
